,start,end,duration,timedelta,seconds
0,2024-01-02 18:19:06+00:00,2024-01-02 18:19:22+00:00,16.0,0 days 00:00:00,0.0
1,2024-01-02 18:20:07+00:00,2024-01-02 18:20:22+00:00,15.0,0 days 00:01:01,61.0
2,2024-01-02 18:21:09+00:00,2024-01-02 18:21:21+00:00,12.0,0 days 00:02:03,123.0
3,2024-01-02 18:22:11+00:00,2024-01-02 18:22:20+00:00,9.0,0 days 00:03:05,185.0
4,2024-01-02 18:23:14+00:00,2024-01-02 18:23:17+00:00,3.0,0 days 00:04:08,248.0
5,2024-01-03 00:38:07+00:00,2024-01-03 00:38:21+00:00,14.0,0 days 06:19:01,22741.0
6,2024-01-03 00:39:09+00:00,2024-01-03 00:39:20+00:00,11.0,0 days 06:20:03,22803.0
7,2024-01-03 00:40:11+00:00,2024-01-03 00:40:18+00:00,7.0,0 days 06:21:05,22865.0
8,2024-01-03 07:00:03+00:00,2024-01-03 07:00:27+00:00,24.0,0 days 12:40:57,45657.0
9,2024-01-03 07:01:04+00:00,2024-01-03 07:01:27+00:00,23.0,0 days 12:41:58,45718.0
10,2024-01-03 07:02:05+00:00,2024-01-03 07:02:27+00:00,22.0,0 days 12:42:59,45779.0
11,2024-01-03 07:03:05+00:00,2024-01-03 07:03:27+00:00,22.0,0 days 12:43:59,45839.0
12,2024-01-03 07:04:06+00:00,2024-01-03 07:04:27+00:00,21.0,0 days 12:45:00,45900.0
13,2024-01-03 07:05:07+00:00,2024-01-03 07:05:27+00:00,20.0,0 days 12:46:01,45961.0
14,2024-01-03 07:06:08+00:00,2024-01-03 07:06:27+00:00,19.0,0 days 12:47:02,46022.0
15,2024-01-03 07:07:10+00:00,2024-01-03 07:07:27+00:00,17.0,0 days 12:48:04,46084.0
16,2024-01-03 07:08:11+00:00,2024-01-03 07:08:26+00:00,15.0,0 days 12:49:05,46145.0
17,2024-01-03 07:09:13+00:00,2024-01-03 07:09:26+00:00,13.0,0 days 12:50:07,46207.0
18,2024-01-03 07:10:14+00:00,2024-01-03 07:10:26+00:00,12.0,0 days 12:51:08,46268.0
19,2024-01-03 07:11:16+00:00,2024-01-03 07:11:25+00:00,9.0,0 days 12:52:10,46330.0
20,2024-01-03 07:12:18+00:00,2024-01-03 07:12:24+00:00,6.0,0 days 12:53:12,46392.0
21,2024-01-03 13:19:04+00:00,2024-01-03 13:19:26+00:00,22.0,0 days 18:59:58,68398.0
22,2024-01-03 13:20:04+00:00,2024-01-03 13:20:26+00:00,22.0,0 days 19:00:58,68458.0
23,2024-01-03 13:21:05+00:00,2024-01-03 13:21:26+00:00,21.0,0 days 19:01:59,68519.0
24,2024-01-03 13:22:06+00:00,2024-01-03 13:22:26+00:00,20.0,0 days 19:03:00,68580.0
