,start,end,duration,timedelta,seconds
0,2024-01-02 12:04:49+00:00,2024-01-02 12:04:58+00:00,9.0,0 days 00:00:00,0.0
1,2024-01-02 12:05:41+00:00,2024-01-02 12:05:58+00:00,17.0,0 days 00:00:52,52.0
2,2024-01-02 12:06:42+00:00,2024-01-02 12:06:58+00:00,16.0,0 days 00:01:53,113.0
3,2024-01-02 12:07:43+00:00,2024-01-02 12:07:58+00:00,15.0,0 days 00:02:54,174.0
4,2024-01-02 12:08:45+00:00,2024-01-02 12:08:57+00:00,12.0,0 days 00:03:56,236.0
5,2024-01-02 12:09:46+00:00,2024-01-02 12:09:57+00:00,11.0,0 days 00:04:57,297.0
6,2024-01-02 12:10:31+00:00,2024-01-02 12:10:53+00:00,22.0,0 days 00:05:42,342.0
7,2024-01-02 12:11:32+00:00,2024-01-02 12:11:53+00:00,21.0,0 days 00:06:43,403.0
8,2024-01-02 12:12:33+00:00,2024-01-02 12:12:54+00:00,21.0,0 days 00:07:44,464.0
9,2024-01-02 12:13:30+00:00,2024-01-02 12:13:54+00:00,24.0,0 days 00:08:41,521.0
10,2024-01-02 12:14:29+00:00,2024-01-02 12:14:54+00:00,25.0,0 days 00:09:40,580.0
11,2024-01-02 12:15:30+00:00,2024-01-02 12:15:54+00:00,24.0,0 days 00:10:41,641.0
12,2024-01-02 12:35:15+00:00,2024-01-02 12:35:30+00:00,15.0,0 days 00:30:26,1826.0
13,2024-01-02 12:36:15+00:00,2024-01-02 12:36:31+00:00,16.0,0 days 00:31:26,1886.0
14,2024-01-02 12:37:14+00:00,2024-01-02 12:37:32+00:00,18.0,0 days 00:32:25,1945.0
15,2024-01-02 12:38:14+00:00,2024-01-02 12:38:32+00:00,18.0,0 days 00:33:25,2005.0
16,2024-01-02 12:55:35+00:00,2024-01-02 12:56:04+00:00,29.0,0 days 00:50:46,3046.0
17,2024-01-02 12:56:36+00:00,2024-01-02 12:57:05+00:00,29.0,0 days 00:51:47,3107.0
18,2024-01-02 12:57:36+00:00,2024-01-02 12:58:05+00:00,29.0,0 days 00:52:47,3167.0
19,2024-01-02 12:58:37+00:00,2024-01-02 12:59:05+00:00,28.0,0 days 00:53:48,3228.0
20,2024-01-02 12:59:37+00:00,2024-01-02 13:00:06+00:00,29.0,0 days 00:54:48,3288.0
21,2024-01-02 13:00:38+00:00,2024-01-02 13:01:06+00:00,28.0,0 days 00:55:49,3349.0
22,2024-01-02 13:07:29+00:00,2024-01-02 13:07:47+00:00,18.0,0 days 01:02:40,3760.0
23,2024-01-02 13:08:19+00:00,2024-01-02 13:08:48+00:00,29.0,0 days 01:03:30,3810.0
24,2024-01-02 13:09:19+00:00,2024-01-02 13:09:48+00:00,29.0,0 days 01:04:30,3870.0
25,2024-01-02 13:10:20+00:00,2024-01-02 13:10:49+00:00,29.0,0 days 01:05:31,3931.0
26,2024-01-02 13:11:20+00:00,2024-01-02 13:11:49+00:00,29.0,0 days 01:06:31,3991.0
27,2024-01-02 13:12:21+00:00,2024-01-02 13:12:50+00:00,29.0,0 days 01:07:32,4052.0
28,2024-01-02 13:13:21+00:00,2024-01-02 13:13:50+00:00,29.0,0 days 01:08:32,4112.0
29,2024-01-02 13:14:22+00:00,2024-01-02 13:14:51+00:00,29.0,0 days 01:09:33,4173.0
30,2024-01-02 13:15:22+00:00,2024-01-02 13:15:35+00:00,13.0,0 days 01:10:33,4233.0
31,2024-01-02 13:25:07+00:00,2024-01-02 13:25:25+00:00,18.0,0 days 01:20:18,4818.0
32,2024-01-02 13:26:07+00:00,2024-01-02 13:26:26+00:00,19.0,0 days 01:21:18,4878.0
33,2024-01-02 13:27:07+00:00,2024-01-02 13:27:27+00:00,20.0,0 days 01:22:18,4938.0
34,2024-01-02 13:28:07+00:00,2024-01-02 13:28:28+00:00,21.0,0 days 01:23:18,4998.0
35,2024-01-02 13:41:59+00:00,2024-01-02 13:42:02+00:00,3.0,0 days 01:37:10,5830.0
36,2024-01-02 13:42:34+00:00,2024-01-02 13:43:02+00:00,28.0,0 days 01:37:45,5865.0
37,2024-01-02 13:43:35+00:00,2024-01-02 13:44:02+00:00,27.0,0 days 01:38:46,5926.0
38,2024-01-02 13:44:35+00:00,2024-01-02 13:45:02+00:00,27.0,0 days 01:39:46,5986.0
39,2024-01-02 13:45:35+00:00,2024-01-02 13:46:02+00:00,27.0,0 days 01:40:46,6046.0
40,2024-01-02 13:46:36+00:00,2024-01-02 13:47:02+00:00,26.0,0 days 01:41:47,6107.0
41,2024-01-02 13:47:36+00:00,2024-01-02 13:48:02+00:00,26.0,0 days 01:42:47,6167.0
42,2024-01-02 13:48:37+00:00,2024-01-02 13:49:03+00:00,26.0,0 days 01:43:48,6228.0
43,2024-01-02 13:49:37+00:00,2024-01-02 13:50:03+00:00,26.0,0 days 01:44:48,6288.0
44,2024-01-02 13:53:45+00:00,2024-01-02 13:53:48+00:00,3.0,0 days 01:48:56,6536.0
45,2024-01-02 13:54:20+00:00,2024-01-02 13:54:49+00:00,29.0,0 days 01:49:31,6571.0
46,2024-01-02 13:55:20+00:00,2024-01-02 13:55:49+00:00,29.0,0 days 01:50:31,6631.0
47,2024-01-02 13:56:20+00:00,2024-01-02 13:56:49+00:00,29.0,0 days 01:51:31,6691.0
48,2024-01-02 13:57:20+00:00,2024-01-02 13:57:49+00:00,29.0,0 days 01:52:31,6751.0
49,2024-01-02 13:58:20+00:00,2024-01-02 13:58:49+00:00,29.0,0 days 01:53:31,6811.0
50,2024-01-02 13:59:09+00:00,2024-01-02 13:59:49+00:00,40.0,0 days 01:54:20,6860.0
51,2024-01-02 14:00:09+00:00,2024-01-02 14:00:50+00:00,41.0,0 days 01:55:20,6920.0
52,2024-01-02 14:01:09+00:00,2024-01-02 14:01:50+00:00,41.0,0 days 01:56:20,6980.0
53,2024-01-02 14:02:09+00:00,2024-01-02 14:02:50+00:00,41.0,0 days 01:57:20,7040.0
54,2024-01-02 14:03:09+00:00,2024-01-02 14:03:50+00:00,41.0,0 days 01:58:20,7100.0
55,2024-01-02 14:04:10+00:00,2024-01-02 14:04:45+00:00,35.0,0 days 01:59:21,7161.0
56,2024-01-02 14:05:10+00:00,2024-01-02 14:05:45+00:00,35.0,0 days 02:00:21,7221.0
57,2024-01-02 14:06:10+00:00,2024-01-02 14:06:40+00:00,30.0,0 days 02:01:21,7281.0
58,2024-01-02 14:07:10+00:00,2024-01-02 14:07:39+00:00,29.0,0 days 02:02:21,7341.0
59,2024-01-02 14:08:10+00:00,2024-01-02 14:08:39+00:00,29.0,0 days 02:03:21,7401.0
